day,month,year,precip,tmax,tmin,srad
9,11,1980,0,30.6,21.5,23.38663574
10,11,1980,0,31.4,22,23.64383377
11,11,1980,0,31.4,22,20.9646139
12,11,1980,25.6,26.2,21,9.678575753
13,11,1980,11.6,26.8,21.5,10.26146795
14,11,1980,0.6,29.4,20.5,15.31334626
15,11,1980,0,30,22.37424341,23.609734
16,11,1980,0,31.2,24.03969211,21.971634
17,11,1980,0.3,30,21.5,20.77518053
18,11,1980,0,30.8,21,23.9436872
19,11,1980,0,31.2,20,23.76520154
20,11,1980,0,29.4,22.5,16.48278954
21,11,1980,0,31.4,22.3,15.44649321
22,11,1980,0,33.41827486,21.5,22.80257764
23,11,1980,0,30.6,22,23.64049972
24,11,1980,0,30.4,21.5,22.31269315
25,11,1980,0,30.6,22,17.67338623
26,11,1980,0,30,23,15.06079612
27,11,1980,0,31.4,21,18.06406518
28,11,1980,0,32.4,22,20.34347359
29,11,1980,0,32,21,20.89660556
30,11,1980,0,31.8,22,23.3141241
1,12,1980,0,32,20.5,23.57889107
2,12,1980,0,31.4,20.5,22.84205926
3,12,1980,0,32,21,23.53817234
4,12,1980,0,32.4,21.5,23.3766245
5,12,1980,0,32.6,22,21.07358038
6,12,1980,2.3,31.6,22.24219446,20.05962108
7,12,1980,0,32,21.21449203,14.33941415
8,12,1980,0,31.6,21,18.18112766
9,12,1980,0,31.45316409,22.15316409,20.45197898
10,12,1980,0,32.6,21.5,23.00681051
11,12,1980,0,32.8,20.5,22.570029
12,12,1980,0,32.8,22.5,18.71791523
13,12,1980,0,31.20513823,20.40513823,19.70854171
14,12,1980,0,33,22,20.27292503
15,12,1980,0,33.8,21.27083779,20.55372859
16,12,1980,0,33,23,20.26662481
17,12,1980,0,33.2,23,21.11880833
18,12,1980,0,32,22.5,22.39896986
19,12,1980,0,31.6,23.5,21.97339256
20,12,1980,0,32.6,22,22.82956383
21,12,1980,0,33.2,22.5,23.11812704
22,12,1980,0,32.76483661,22,18.99577861
23,12,1980,0,33.6374133,24.2374133,17.29285254
24,12,1980,0,33.93066571,23,12.59899695
25,12,1980,0,33.89314367,23.5,15.31144647
26,12,1980,23.6,32.24069337,22,13.4656791
27,12,1980,0,31.91858463,20.5,11.61895528
28,12,1980,0,32.32378959,22.5,17.1911701
29,12,1980,0,32.68817879,23,16.77399021
30,12,1980,0,34.1178189,23,20.92935068
31,12,1980,0,32.77330462,22,21.80304685
1,1,1981,0,31.16656376,23.6,17.30558702
2,1,1981,0,31.30917312,22,19.82153169
3,1,1981,0,32.88128916,22,22.02789233
4,1,1981,0,30.215571,22,18.19405903
5,1,1981,0,33.61372995,22.5,19.60705915
6,1,1981,0,31.75378246,22,19.7074122
7,1,1981,0,33.19380719,21.5,18.55387311
8,1,1981,0,33.48180701,21.5,18.20312767
9,1,1981,0,32.09502672,21.5,19.54289969
10,1,1981,0,31.45230076,21,21.76325292
11,1,1981,0,35.23552961,21.5,19.79285793
12,1,1981,0,32.09090724,23.5,20.33734124
13,1,1981,0,31.71273949,25,14.95773679
14,1,1981,0,30.97095586,23,20.5441005
15,1,1981,0,33.0109738,22,22.03433841
16,1,1981,0,31.73937893,20.5,21.50261621
17,1,1981,0,31.71414086,23,21.95661264
18,1,1981,0,31.25230895,21,20.83144487
19,1,1981,0,33.18405655,23,22.42153741
20,1,1981,0,32.54810096,22,21.64674727
21,1,1981,0,31.34556862,22,19.9895286
22,1,1981,0,33.00402088,23,22.22881682
23,1,1981,0,31.73987147,23,21.06411082
24,1,1981,0,30.44736287,23,16.77369657
25,1,1981,0,33.05953387,23.5,21.6514025
26,1,1981,0,32.86730183,23,22.5728567
27,1,1981,0,29.98816524,23.5,16.43933898
28,1,1981,0,33.3574687,23.5,21.05423749
29,1,1981,0,31.6922224,23.5,21.29317838
30,1,1981,0,31.33676922,23.5,20.42355827
31,1,1981,0,30.10112457,23.5,16.90066068
1,2,1981,0,32.30155684,21,22.50737349
2,2,1981,0,31.47118619,24,16.30147286
3,2,1981,0,33.53504172,23,17.55012886
4,2,1981,0,33.08200218,23.5,22.03806315
5,2,1981,0,34.80278498,23.5,22.1863332
6,2,1981,0,35.17211262,24.5,22.60321162
7,2,1981,0,34.74766738,24.5,22.21895517
8,2,1981,0,36.06689131,22.5,19.61187554
9,2,1981,0,34.29114578,23.5,18.40047687
10,2,1981,0,35.95411718,21,22.14918335
11,2,1981,0,35.82256088,24.5,20.64512821
12,2,1981,0,36.27618521,23.5,20.04279941
13,2,1981,0,34.56063123,24.5,19.91664915
14,2,1981,0,29.63590592,26,15.21331471
15,2,1981,4.1,34.44308597,27,18.52282689
16,2,1981,0.4,34.16777672,22,14.05797149
