day,month,year,precip,tmax,tmin,srad
17,3,1981,0,33.2,22.8,19.31044234
18,3,1981,0,33.5,21.6,20.19877183
19,3,1981,0,34.2,22,21.45031247
20,3,1981,0,33.6,20.6,20.39276702
21,3,1981,0,32.2,21.8,18.45402421
22,3,1981,0,33.8,20.8,21.69913078
23,3,1981,0,34,22.5,19.68292046
24,3,1981,0,34.3,22.5,20.17301836
25,3,1981,0,33,21.6,20.81339724
26,3,1981,0,33.4,22.4,19.85340803
27,3,1981,0,35,23,19.29302568
28,3,1981,0,36,22.9,20.64333101
29,3,1981,0,35.2,23.2,19.38868242
30,3,1981,0,35.7,23,21.24792617
31,3,1981,0,36.6,23.6,20.19193598
1,4,1981,0,36.4,23.8,25.39040336
2,4,1981,0,36.4,24,23.10803991
3,4,1981,0,34.2,25,16.57832396
4,4,1981,6.5,31.9,24,13.64252472
5,4,1981,0,34.6,23.5,22.46233812
6,4,1981,0,34.8,23.7,18.21897849
7,4,1981,0.3,32.6,23.2,15.28264652
8,4,1981,0,32.4,23.6,13.48937264
9,4,1981,1.3,35.2,24.2,17.07699444
10,4,1981,0,35.7,24.4,21.6383414
11,4,1981,0,38,23.5,22.77386715
12,4,1981,1.3,35.4,25.2,12.51240672
13,4,1981,0,34.9,24.5,15.76505912
14,4,1981,0,32.8,23.1,13.97300718
15,4,1981,1.1,35.6,22.4,21.28096345
16,4,1981,0,33.6,23.2,19.1614022
17,4,1981,16.7,36,23.5,24.01999416
18,4,1981,7.1,31.8,23,11.84976139
19,4,1981,3.7,32.4,23.5,14.5995104
20,4,1981,0.2,32.2,23,20.2568354
21,4,1981,3.6,32.2,23.8,20.56809364
22,4,1981,1.9,32.6,24.4,16.67839013
23,4,1981,1.7,32.4,23.4,16.5070084
24,4,1981,27,33.5,22.3,16.0129983
25,4,1981,0,34.2,24,16.96888648
26,4,1981,0.6,24.5,23,13.41772137
27,4,1981,0,28,22,9.873670243
28,4,1981,0,32.4,21.9,15.80822149
29,4,1981,0,32.8,23,17.23944327
30,4,1981,1.9,32.8,23.4,22.51105434
1,5,1981,0.7,29.4,23.4,10.17193129
2,5,1981,37.2,32.6,21.5,21.35124016
3,5,1981,0,32,23.5,20.05449126
4,5,1981,0,31.7,23,18.12280621
5,5,1981,39,29.6,23.2,13.17025432
6,5,1981,5.3,32,23.2,17.77114267
7,5,1981,0,32.2,22.9,19.02503887
8,5,1981,40.4,32.8,23.7,22.49648199
9,5,1981,1.1,28,22,10.59068864
10,5,1981,0,32,22.9,19.44375751
11,5,1981,11,31.8,23,18.31796048
12,5,1981,23.7,31.3,23.6,16.08995117
13,5,1981,0.7,32.3,23.5,16.07447019
14,5,1981,0.7,31.6,22.6,14.79936258
15,5,1981,13.7,32.6,23.2,18.4022661
16,5,1981,1.7,32,23.5,15.87090271
17,5,1981,5.7,33.4,24,17.42432103
18,5,1981,2.6,33,23.5,18.50395406
19,5,1981,26.4,32.6,24.4,14.10403096
20,5,1981,0,33.6,23,23.31274835
21,5,1981,0,33,25.1,15.17110238
22,5,1981,17.6,33,23.3,17.49612602
23,5,1981,2.6,30.6,21,9.692020344
24,5,1981,0,32.4,22.8,16.52994965
25,5,1981,17,31.2,23.5,13.25153198
26,5,1981,0,32.8,22.5,22.39920712
27,5,1981,6.2,32.7,23.4,14.78015855
